"dimension_type","dimension","clicks","impressions","ctr_percent","average_position"
"query","розробка інтернет магазину під ключ","0","2","0","100.0"
"query","seo first","0","1","0","5.0"
"query","сайт для стоматології під ключ","0","1","0","17.0"
"query","google analytics під ключ","0","1","0","32.0"
"query","сайт для салону краси","0","1","0","65.0"
"query","clean site services","0","1","0","69.0"
"query","max siti","0","1","0","71.0"
"query","сайт візитка під ключ","0","1","0","81.0"
"query","создание сайтов черкассы","0","1","0","81.0"
"query","maxsite","0","1","0","82.0"
"query","создание сайтов интернет магазинов под ключ","0","1","0","84.0"
"query","заказать интернет-магазин под ключ","0","1","0","86.0"
"query","сайт интернет магазин под ключ","0","1","0","92.0"
"query","інтернет магазин під ключ ціна","0","1","0","93.0"
"query","розкрутка сайту у києві","0","1","0","98.0"
"query","розробка інтернет-магазину під ключ","0","1","0","99.0"
"query","технічна підтримка сайту","0","1","0","99.0"
"page","https://maxsite.com.ua/","1","240","0.4","60.6"
"page","https://maxsite.com.ua/stvorennya-saytu-dlya-biznesu/","1","124","0.8","63.6"
"page","https://maxsite.com.ua/stvorennya-internet-mahazynu/","0","362","0","75.6"
"page","https://maxsite.com.ua/mista/stvorennya-sajtiv-kyiv/","0","326","0","72.2"
"page","https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-internet-magazynu/","0","99","0","90.3"
"page","https://maxsite.com.ua/mista/stvorennya-sajtiv-cherkasy/","0","95","0","58.6"
"page","https://maxsite.com.ua/stvorennya-landing-page/","0","50","0","58.8"
"page","https://maxsite.com.ua/nishi/sajt-dlya-medychnyh-poslug/","0","43","0","77.0"
"page","https://maxsite.com.ua/nishi/sajt-dlya-kliningovoyi-kompaniyi/","0","34","0","12.4"
"page","https://maxsite.com.ua/sajty-dlya-poslug/","0","24","0","62.8"
"page","https://maxsite.com.ua/pidtrymka-saytiv/","0","12","0","81.3"
"page","https://maxsite.com.ua/stvorennya-saytiv/ Копировать URL в буфер обмена Открыть URL в новой вкладке Проверить URL","0","11","0","18.6"
"page","https://maxsite.com.ua/mista/","0","10","0","5.0"
"page","https://maxsite.com.ua/nishi/sajt-dlya-budivelnoyi-kompaniyi/","0","9","0","36.2"
"page","https://maxsite.com.ua/nishi/sajt-dlya-salonu-krasy/","0","9","0","62.6"
"page","https://maxsite.com.ua/nishi/sajt-dlya-magazynu/","0","4","0","4.5"
"page","https://maxsite.com.ua/nishi/sajt-dlya-eksperta/","0","4","0","5.0"
"page","https://maxsite.com.ua/mista/stvorennya-sajtiv-ukrayina/","0","4","0","5.5"
"page","https://maxsite.com.ua/kontakty/","0","4","0","6.8"
"page","https://maxsite.com.ua/stvorennya-korporatyvnoho-saytu/","0","4","0","20.5"
"page","https://maxsite.com.ua/blog/","0","3","0","8.0"
"page","https://maxsite.com.ua/sayt-vizytka/","0","3","0","80.3"
"page","https://maxsite.com.ua/nishi/sajt-dlya-remontnyh-poslug/","0","2","0","4.5"
"page","https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-sajtu/","0","2","0","5.5"
"page","https://maxsite.com.ua/nishi/","0","2","0","36.5"
"page","https://maxsite.com.ua/portfolio/","0","2","0","37.0"
"page","https://maxsite.com.ua/nishi/sajt-dlya-avtoservisu/","0","2","0","56.5"
"page","https://maxsite.com.ua/google-ads/","0","2","0","78.5"
"page","https://maxsite.com.ua/pro-nas/","0","1","0","2.0"
"page","https://maxsite.com.ua/blog/seo-first-pidhid/","0","1","0","5.0"
"page","https://maxsite.com.ua/blog/yak-pidgotuvaty-biznes-do-zapusku-sajtu/","0","1","0","7.0"
"page","https://maxsite.com.ua/polityka-konfidentsijnosti/","0","1","0","9.0"
"page","https://maxsite.com.ua/nishi/sajt-dlya-stomatologiyi/","0","1","0","17.0"
"page","https://maxsite.com.ua/google-analytics-search-console/","0","1","0","32.0"
"page","https://maxsite.com.ua/rozrobka-wordpress/","0","1","0","38.0"
"country","Україна","2","1332","0.2","69.7"
"country","Великобритания","0","7","0","10.7"
"country","Бразилия","0","6","0","41.8"
"country","Россия","0","5","0","36.0"
"country","Швеция","0","5","0","50.2"
"country","Нидерланды","0","3","0","22.3"
"country","Малайзия","0","3","0","50.7"
"country","Вьетнам","0","2","0","14.0"
"country","Филиппины","0","2","0","36.5"
"country","Германия","0","2","0","37.5"
"device","Desktop","2","1023","0.2","69.3"
"device","Mobile","0","362","0","65.7"
"search_appearance","Product snippets","0","182","0","79.8"
