url,type,baseline_description_chars,distinct_inlink_sources,proof_state,provisional_decision,baseline_next_action
/blog/vnutrishnya-perelinkovka/,article,79,1,editorial-only,IMPROVE,"Rewrite description; add primary sources; link from technical SEO owner"
/blog/yak-pidgotuvaty-biznes-do-zapusku-sajtu/,article,89,1,editorial-only,IMPROVE,"Rewrite description; add sources; link from brief and turnkey scope"
/blog/yak-pidgotuvaty-bryf-na-sajt/,article,75,2,editorial-only,IMPROVE,"Rewrite description; add sources; link to downloadable brief"
/blog/yak-sajt-dopomagaye-otrymuvaty-zayavky/,article,89,1,sourced-editorial,IMPROVE,"Rewrite description; add contextual link from core service"
/blog/yak-vybraty-rozrobnyka-sajtu/,article,122,1,sourced-editorial,IMPROVE,"Perform substantive review; add visible review date; link from About"
/blog/yak-vybraty-vebstudiyu-v-ukrayini/,article,130,6,sourced-editorial,KEEP,"Monitor GSC and assisted conversions"
/blog/yak-zamovyty-sajt-i-ne-vtratyty-groshi/,article,122,1,editorial-only,IMPROVE,"Perform substantive review; add visible review date and primary sources"
/blog/yakyj-sajt-potriben-lokalnomu-biznesu/,article,94,1,editorial-only,IMPROVE,"Rewrite description; add sources; link from local-business and city hubs"
/nishi/sajt-dlya-avtoservisu/,niche,108,68,no-relevant-client-case,HOLD_EVALUATE,"Rewrite description; review 16-month GSC/backlinks/unique value; obtain relevant proof"
/nishi/sajt-dlya-b2b-kompaniyi/,niche,113,1,no-relevant-client-case,HOLD_EVALUATE,"Review 16-month GSC/backlinks/unique value; obtain relevant proof and inlinks"
/nishi/sajt-dlya-budivelnoyi-kompaniyi/,niche,139,68,no-relevant-client-case,HOLD_EVALUATE,"Review 16-month GSC/backlinks/unique value; obtain relevant proof"
/nishi/sajt-dlya-dezinfekciyi/,niche,112,2,relevant-case-exists,HOLD_EVALUATE,"Add a contextual FO-DEZ case link; verify service relationship; review GSC/backlinks"
/nishi/sajt-dlya-eksperta/,niche,95,2,no-relevant-client-case,HOLD_EVALUATE,"Rewrite description; review 16-month GSC/backlinks/unique value; obtain relevant proof"
/nishi/sajt-dlya-horeca/,niche,118,1,no-relevant-client-case,HOLD_EVALUATE,"Review 16-month GSC/backlinks/unique value; obtain relevant proof and inlinks"
/nishi/sajt-dlya-kliningovoyi-kompaniyi/,niche,153,69,relevant-client-case,KEEP_PROVISIONAL,"Preserve Formula Chystoty bridge; monitor niche query/page and qualified leads"
/nishi/sajt-dlya-kursiv/,niche,89,1,self-case-only,IMPROVE_AND_EVALUATE,"Rewrite description; self-case is not sector client proof; review GSC/backlinks"
/nishi/sajt-dlya-landshaftnoyi-kompaniyi/,niche,121,1,no-relevant-client-case,HOLD_EVALUATE,"Review 16-month GSC/backlinks/unique value; obtain relevant proof and inlinks"
/nishi/sajt-dlya-logistychnoyi-kompaniyi/,niche,121,1,no-relevant-client-case,HOLD_EVALUATE,"Review 16-month GSC/backlinks/unique value; obtain relevant proof and inlinks"
/nishi/sajt-dlya-lokalnogo-biznesu/,niche,139,63,no-relevant-client-case,HOLD_EVALUATE,"Review overlap with city hubs; use GSC/backlinks and unique value before any index change"
/nishi/sajt-dlya-magazynu/,niche,101,1,self-case-only,IMPROVE_AND_EVALUATE,"Rewrite description; obtain real retail/ecommerce proof; review GSC/backlinks"
/nishi/sajt-dlya-meblevoyi-kompaniyi/,niche,118,1,no-relevant-client-case,HOLD_EVALUATE,"Review 16-month GSC/backlinks/unique value; obtain relevant proof and inlinks"
/nishi/sajt-dlya-medychnyh-poslug/,niche,98,26,self-case-only,IMPROVE_AND_EVALUATE,"Rewrite description; maintain professional-review caveat; obtain sector proof"
/nishi/sajt-dlya-neruhomosti/,niche,112,1,self-case-only,IMPROVE_AND_EVALUATE,"Obtain sector proof; review GSC/backlinks; strengthen inlinks"
/nishi/sajt-dlya-remontnyh-poslug/,niche,104,1,no-relevant-client-case,HOLD_EVALUATE,"Rewrite description; review GSC/backlinks/unique value; obtain relevant proof"
/nishi/sajt-dlya-salonu-krasy/,niche,88,68,no-relevant-client-case,HOLD_EVALUATE,"Rewrite description; review GSC/backlinks/unique value; obtain relevant proof"
/nishi/sajt-dlya-stomatologiyi/,niche,113,1,no-relevant-client-case,HOLD_EVALUATE,"Review GSC/backlinks; obtain sector proof; avoid health outcome claims"
/nishi/sajt-dlya-vyrobnytstva/,niche,120,1,self-case-only,IMPROVE_AND_EVALUATE,"Obtain sector proof; review GSC/backlinks; strengthen inlinks"
/nishi/sajt-dlya-yurydychnoyi-kompaniyi/,niche,119,1,no-relevant-client-case,HOLD_EVALUATE,"Review GSC/backlinks; obtain sector proof; avoid legal outcome claims"
