id,company,sourceUrl,checkedAt,httpStatus,sourceSha256,priceKind,currencies,publishedPrice,scopeNotes,publishedTiming
26,ART LEMON,https://art-lemon.com/ua/,2026-09-12T19:34:45.204871+00:00,200,f6e26598bf3230d72211581e24d100ef9538582884c3d98746d179e4cfd52d66,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Оцінка після обговорення обсягу; цифри не припускаємо.,Не нормалізовано в цій вибірці.
27,WEBMASTER,https://web-master.ck.ua/index-ua.html,2026-09-12T19:34:45.307425+00:00,200,b7e95b315baeed16ef496ab1362cbc0efe9799448e3505e13e08c4d8c325ee48,from,USD,Загальний старт від 699 USD; магазин від 999.,Підтримка й SEO мають окремі тарифи; не включені до цих сум.,Не нормалізовано в цій вибірці.
28,Astudio,https://web-astudio.com/ck/,2026-09-12T19:34:45.419379+00:00,200,52a34f724de941118308ec9593bd4e5bf24a7daa6399a96df23ebdba43c2c112,title-only,UAH,Заголовок містить ціну від 39 000 грн.,На перевіреній сторінці немає достатнього опису пакета саме за цим числом.,Не нормалізовано в цій вибірці.
29,Rubik,https://rubik.com.ua/cherkasy/,2026-09-12T19:34:45.452863+00:00,200,fd3eeb5c3dd42f03d539d33fc790195e73654726867603cfe6a17b1ad8737fa5,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,На сайті є окремі сторінки форматів; цей зріз охоплює вибрану міську сторінку.,Не нормалізовано в цій вибірці.
30,theDC.studio,https://thedc.studio/rozrobka-saitiv-cherkasy/,2026-09-12T19:34:45.528090+00:00,200,06ab1ae460b28dee57f6da37579f30c3af83db21ad5a3c78cfafe9f1f82e1e70,multi,USD,"Картки: landing від 500 USD, корпоративний від 1 500, магазин від 2 500.","FAQ називає інші нижні межі: landing 300, корпоративний/магазин 1 000 USD; склад потребує уточнення.",Не нормалізовано в цій вибірці.
31,Tera Group,https://teragroup.com.ua/,2026-09-12T19:34:45.831383+00:00,200,d03eeebe1c955d92642b6433db50b1dd6fc92adae1622c6cea604f488a7b8dfc,listed,USD,Бізнес-сайт 1 090 USD; корпоративний 1 815; каталог 1 705; landing 800.,Опубліковані суми карток. Магазин через форму розрахунку не оцінювали; заявку не надсилали.,Не нормалізовано в цій вибірці.
32,WEZOM,https://wezom.com.ua/ua/razrabotka_sajtov,2026-09-12T19:34:45.933622+00:00,200,5dfd2a8f39e039ba1f8bb80ccc4a5e97615beb4e5d1a47cf5d05879f06ed4a22,general,USD,Загальна розробка від 8 000 USD.,"Стартовий поріг FAQ, не ціна будь-якого магазину чи застосунку.",Не нормалізовано в цій вибірці.
33,Dime Studio,https://dime-studio.com/,2026-09-12T19:34:46.067618+00:00,200,b3f0372ecfdc98261da731ee05b0eacfb824b104f5081f977709029c80434ba0,general,EUR,Створення сайту від 350 EUR.,Загальна пропозиція; не прирівнюємо її до повного ecommerce.,Не нормалізовано в цій вибірці.
34,Site-M,https://site-m.kiev.ua/,2026-09-12T19:34:46.162405+00:00,200,dd7e744985411d0c7a7ce309b610c38e49bbd0a961f0ce488129e84d33c1e591,listed,UAH,Landing 12 000 грн; візитка 18 000; корпоративний 25 000; магазин від 25 000.,Суми карток; слово «від» явно вказано для магазину.,Не нормалізовано в цій вибірці.
35,Barbarys,https://barbarys.com.ua/blog/stvorennya-sajtiv-kyyiv/,2026-09-12T19:34:46.162555+00:00,200,ed6f9c6643618d6e359ae29fc828facd33626ebb14b324347f264ef5efaf127b,from,UAH,Landing від 15 000 грн; візитка від 25 000; корпоративний від 50 000; магазин від 40 000.,Різні функціональні формати з окремим кошторисом.,Не нормалізовано в цій вибірці.
36,Championweb,https://championweb.com.ua/uk,2026-09-12T19:34:46.509036+00:00,200,b719528fc162005eed55be6bfc01b2178ac33d03f1f5512de2d7a9c09cbdbcb0,from,USD,Landing від 150 USD; бізнес-сайт від 350; каталог від 390.,Каталог описано без онлайн-оплати; це не еквівалент магазину.,Landing 7–10 днів; бізнес 9–24; каталог 7–30.
37,WEBCASE,https://webcase.com.ua/uk/sozdanie-sajtov-kiev/,2026-09-12T19:34:46.509864+00:00,200,9eeea44e52db6ee3ef77f92581a29275986b65ecd3e4a25756c0d75748af8bdb,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Кейси та послуги не замінюють оцінку однакового брифу.,Не нормалізовано в цій вибірці.
38,Limenet,https://www.limenet.kiev.ua/ua/,2026-09-12T19:34:46.578694+00:00,200,9654aa31ce714cc881d8ba12a6b080c0242bae6625ab8587a403821d8e3a44f0,range,UAH,Landing і візитка 25 000–50 000 грн; магазин і корпоративний 50 000–150 000.,"Це опубліковані діапазони одного виконавця, не ринкові середні.",Не нормалізовано в цій вибірці.
39,WebPC,https://webpc.com.ua/,2026-09-12T19:34:46.724206+00:00,200,8a59eb38826ff931b2ec5d8d8421ea155c25150bec436604c4cf2807c9f293ab,from,UAH,Start від 40 000 грн; Business від 80 000; Pro від 150 000.,"Start — візитка/landing; Pro — магазин, каталог або портал з різною складністю.",Не нормалізовано в цій вибірці.
40,Impulse Design,https://impulse-design.com.ua/ua/,2026-09-12T19:34:46.733010+00:00,200,4ab486e7166a42adea26fdd9f13785eba31e41528265bbba97793348cfa1bab8,from,USD,Landing від 600 USD; компанія від 1 300; магазин від 1 500; custom від 3 000.,Просування має окремий тариф; не включене в ціну створення.,Не нормалізовано в цій вибірці.
41,Brainlab,https://brainlab.com.ua/uk/poslugi,2026-09-12T19:34:46.987429+00:00,200,a8fb7449644799936bcc5516ac6365ccdbb268a7ec8f849798a46a2b738fab24,from,USD,Візитка від 4 000 USD; landing від 5 000; бізнес від 7 000; магазин від 12 000.,"Окремі бюджети CRM/ERP, підтримки й редизайну не включено до цих форматів.",Не нормалізовано в цій вибірці.
42,WebArtix,https://webartix.com.ua/rozrobka-saitiv-lviv/,2026-09-12T19:34:47.093179+00:00,200,627402f38f03824efc616df7c4d6233b4f75f54d52ea4a873f9cc08f95c693df,listed,UAH; USD,Візитка на 3 сторінки 20 000 грн; корпоративний до 8 сторінок від 25 000; landing 18 000; магазин від 1 200 USD.,WordPress і плагіни зазначені у поясненні; супровід рахується окремо.,Не нормалізовано в цій вибірці.
43,WEB ETALON,https://webetalon.com.ua/,2026-09-12T19:34:47.175861+00:00,200,dcdd7da202aa9a0a28864e7fb20a58eb42c11bd5e95a87effb537bb0a032f84d,from,UAH,Візитка від 7 000 грн; корпоративний від 15 000; магазин від 35 000.,Заголовок від 5 000 грн не тотожний цим форматам; FAQ окремо називає базовий landing від 8 000.,Не нормалізовано в цій вибірці.
44,Webera,https://webera.com.ua/,2026-09-12T19:34:47.273061+00:00,200,8d17ad773a6e0dee7aacec26482128179726f39181b1082ef1875f9edd620fd9,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Рекламний промокод 1 500 грн виключено: це не вартість створення сайту.,Не нормалізовано в цій вибірці.
45,REDSTONE,https://redstone.agency/,2026-09-12T19:34:47.396841+00:00,200,32f6c7a567734dae6e9d1f513b797f34f67bca76c44044425e6dad17c26d91a9,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Вартість не виводимо з переліку відомих клієнтів чи кейсів.,Не нормалізовано в цій вибірці.
46,Krylov Company,https://www.krylovcompany.com.ua/service/rozrobka-saytiv/,2026-09-12T19:34:47.397345+00:00,200,775f7b41e886f14ab76a2cd5037d8df35ed8f825824f6dc02a3dd02f7fce5814,listed,UAH,Landing 16 000 грн; бізнес-сайт 24 000; магазин від 45 000.,Домен і хостинг мають окремий бюджет; у пакетах зазначено місяць підтримки.,Landing 16 днів; бізнес до 30; магазин до 2 місяців.
47,RomanStudio,https://romanstudio.net.ua/rozrobka-sajtiv-u-lvovi/,2026-09-12T19:34:47.583376+00:00,200,82729f63992e7fdcd1ca88fbf1a5b048dd1dd3bf88ffdbd1904b2912c4544e75,from,UAH,Візитка від 10 000 грн; landing від 8 000; корпоративний від 11 000; магазин від 16 000.,Стартові бюджети форматів; індивідуальний функціонал погоджується окремо.,Не нормалізовано в цій вибірці.
48,Webtune,https://webtune.com.ua/web-development/,2026-09-12T19:34:47.695702+00:00,200,d1fbdcf03a8f33e71e3fb59b138e1b42c83a992adbfbeb0c1fd4422f46fbe670,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Не поширюємо висновок на всі сторінки компанії.,Не нормалізовано в цій вибірці.
49,Legion Marketing,https://www.legion-marketing.com.ua/stvorenny-sajtiv/,2026-09-12T19:34:48.016524+00:00,200,d7aff435bdf44332ef3c8dd3073e968fc6a4b16eccc158c52c62781a388ad18c,tiered,USD,Weblium від 500 USD; шаблон WordPress від 700; унікальний дизайн WordPress від 1 500; магазин від 2 000.,Заголовок також називає 20 000 грн; платформи й індивідуальний дизайн мають різні межі робіт.,Не нормалізовано в цій вибірці.
50,SPRAVA,https://sprava.ua/sprava-in-odessa,2026-09-12T19:34:48.086311+00:00,200,c7b5757dcb11f4cfe17051e90c30eba91ad548b9ca090dbc7293caa9bf73f62a,not-found,,Ціну розробки на перевіреній сторінці не зафіксовано.,Вартість ліда в кейсі не є ціною сайту й виключена з дослідження.,Не нормалізовано в цій вибірці.
