"cluster_id","primary_query","secondary_queries","intent","geo","canonical_url","current_url","content_type","priority","status","serp_overlap","decision","notes"
"blog-nextjs-chy-wordpress","Next.js чи WordPress","порівняння Next.js WordPress; вибір CMS і фреймворку","informational","UA","https://maxsite.com.ua/blog/nextjs-chy-wordpress/","https://maxsite.com.ua/blog/nextjs-chy-wordpress/","article","P2","active","see dated SERP evidence","keep-owner","Порівняння платформ, витрат і вимірювань"
"blog-pidtrymka-saytu-pislya-zapusku","що робити після запуску сайту","план підтримки сайту; обслуговування після релізу","informational","UA","https://maxsite.com.ua/blog/pidtrymka-saytu-pislya-zapusku/","https://maxsite.com.ua/blog/pidtrymka-saytu-pislya-zapusku/","article","P2","active","see dated SERP evidence","keep-owner","План перевірок і розподіл відповідальності"
"blog-redesign-saytu-bez-vtraty-seo","як зберегти SEO під час редизайну","міграція сайту без втрати трафіку; чекліст редизайну","informational","UA","https://maxsite.com.ua/blog/redesign-saytu-bez-vtraty-seo/","https://maxsite.com.ua/blog/redesign-saytu-bez-vtraty-seo/","article","P2","active","see dated SERP evidence","keep-owner","Інформаційний план міграції; комерційний власник /redesign-saytu/"
"blog-sajt-dlya-kliningovoyi-kompaniyi","що має бути на сайті клінінгової компанії","структура сайту клінінгу; чекліст клінінгового сайту","informational","UA","https://maxsite.com.ua/blog/sajt-dlya-kliningovoyi-kompaniyi/","https://maxsite.com.ua/blog/sajt-dlya-kliningovoyi-kompaniyi/","article","P2","active","see dated SERP evidence","keep-owner","Освітній чекліст; замовлення належить нішевій сторінці"
"blog-seo-first-pidhid","що таке SEO-first підхід","SEO до дизайну; порядок проектування SEO структури","informational","UA","https://maxsite.com.ua/blog/seo-first-pidhid/","https://maxsite.com.ua/blog/seo-first-pidhid/","article","P2","active","see dated SERP evidence","keep-owner","Пояснення методу; брендований процес належить /seo-first/"
"content-turnkey-scope","що входить у сайт під ключ","етапи створення сайту; склад робіт розробника","informational","UA","https://maxsite.com.ua/blog/shcho-vhodyt-u-sajt-pid-klyuch/","https://maxsite.com.ua/blog/shcho-vhodyt-u-sajt-pid-klyuch/","article","P2","active","see dated SERP evidence","keep-owner","Перелік результатів робіт і меж відповідальності"
"blog-shcho-vhodyt-u-stvorennya-internet-magazynu-pid-klyuch","що входить у створення інтернет-магазину","склад робіт ecommerce; функції магазину під ключ","informational","UA","https://maxsite.com.ua/blog/shcho-vhodyt-u-stvorennya-internet-magazynu-pid-klyuch/","https://maxsite.com.ua/blog/shcho-vhodyt-u-stvorennya-internet-magazynu-pid-klyuch/","article","P2","active","see dated SERP evidence","keep-owner","Пояснення функцій та приймання магазину"
"blog-skilky-koshtuye-stvorennya-internet-magazynu","скільки коштує інтернет-магазин","бюджет запуску магазину; складові ціни ecommerce","informational","UA","https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-internet-magazynu/","https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-internet-magazynu/","article","P2","active","see dated SERP evidence","keep-owner","Освітній розбір кошторису саме магазину"
"blog-skilky-koshtuye-stvorennya-sajtu","скільки коштує створення сайту","ціни вебстудій України 2026; дослідження вартості сайтів","informational","UA","https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-sajtu/","https://maxsite.com.ua/blog/skilky-koshtuye-stvorennya-sajtu/","article","P2","active","see dated SERP evidence","keep-owner","Власне дослідження 50 джерел і метод порівняння бюджетів"
"content-duration","скільки триває розробка сайту","строки створення сайту; календар запуску сайту","informational","UA","https://maxsite.com.ua/blog/skilky-tryvaye-rozrobka-sajtu/","https://maxsite.com.ua/blog/skilky-tryvaye-rozrobka-sajtu/","article","P2","active","see dated SERP evidence","keep-owner","План строків і залежності від матеріалів та інтеграцій"
"blog-struktura-sajtu-dlya-seo","як побудувати структуру сайту для SEO","розподіл запитів між сторінками; SEO структура","informational","UA","https://maxsite.com.ua/blog/struktura-sajtu-dlya-seo/","https://maxsite.com.ua/blog/struktura-sajtu-dlya-seo/","article","P2","active","see dated SERP evidence","keep-owner","Інструкція з побудови ієрархії сторінок"
"blog-tehnichne-seo-cheklist","технічне SEO чекліст","перевірка SEO перед запуском; технічний аудит самостійно","informational","UA","https://maxsite.com.ua/blog/tehnichne-seo-cheklist/","https://maxsite.com.ua/blog/tehnichne-seo-cheklist/","article","P2","active","see dated SERP evidence","keep-owner","Самостійна перевірка та власні технічні експерименти"
"blog-vnutrishnya-perelinkovka","як зробити внутрішню перелінковку","контекстні посилання сайту; карта внутрішніх посилань","informational","UA","https://maxsite.com.ua/blog/vnutrishnya-perelinkovka/","https://maxsite.com.ua/blog/vnutrishnya-perelinkovka/","article","P2","active","see dated SERP evidence","keep-owner","Навчальний матеріал про зв'язки сторінок"
"blog-yak-pidgotuvaty-biznes-do-zapusku-sajtu","як підготувати бізнес до запуску сайту","матеріали для розробки сайту; готовність бізнесу до запуску","informational","UA","https://maxsite.com.ua/blog/yak-pidgotuvaty-biznes-do-zapusku-sajtu/","https://maxsite.com.ua/blog/yak-pidgotuvaty-biznes-do-zapusku-sajtu/","article","P2","active","see dated SERP evidence","keep-owner","Організаційна підготовка власника"
"blog-yak-pidgotuvaty-bryf-na-sajt","як заповнити бриф на сайт","шаблон брифу на сайт; питання брифу для розробки","informational","UA","https://maxsite.com.ua/blog/yak-pidgotuvaty-bryf-na-sajt/","https://maxsite.com.ua/blog/yak-pidgotuvaty-bryf-na-sajt/","article","P2","active","see dated SERP evidence","keep-owner","Інструкція та придатний до заповнення шаблон"
"blog-yak-pidhotuvaty-kataloh-odyahu-dlya-internet-mahazynu","як підготувати каталог одягу для магазину","SKU розміри та кольори; залишки товарних варіантів","informational","UA","https://maxsite.com.ua/blog/yak-pidhotuvaty-kataloh-odyahu-dlya-internet-mahazynu/","https://maxsite.com.ua/blog/yak-pidhotuvaty-kataloh-odyahu-dlya-internet-mahazynu/","article","P2","active","see dated SERP evidence","keep-owner","Практичний ecommerce гайд для одягу"
"blog-yak-sajt-dopomagaye-otrymuvaty-zayavky","як сайт допомагає отримувати заявки","конверсійний шлях відвідувача; обробка заявок сайту","informational","UA","https://maxsite.com.ua/blog/yak-sajt-dopomagaye-otrymuvaty-zayavky/","https://maxsite.com.ua/blog/yak-sajt-dopomagaye-otrymuvaty-zayavky/","article","P2","active","see dated SERP evidence","keep-owner","Пояснення шляху заявки й вимірювання"
"blog-yak-vybraty-rozrobnyka-sajtu","як вибрати розробника сайту","перевірка компетенцій розробника; питання виконавцю сайту","informational","UA","https://maxsite.com.ua/blog/yak-vybraty-rozrobnyka-sajtu/","https://maxsite.com.ua/blog/yak-vybraty-rozrobnyka-sajtu/","article","P2","active","see dated SERP evidence","keep-owner","Оцінка особистої компетенції й відповідальності виконавця"
"content-studio-choice","як вибрати вебстудію в Україні","порівняння вебстудій; перевірка процесів агенції","informational","UA","https://maxsite.com.ua/blog/yak-vybraty-vebstudiyu-v-ukrayini/","https://maxsite.com.ua/blog/yak-vybraty-vebstudiyu-v-ukrayini/","article","P2","active","see dated SERP evidence","keep-owner","Оцінка команди, процесу та договору агенції"
"blog-yak-zamovyty-sajt-i-ne-vtratyty-groshi","як безпечно замовити сайт","ризики замовлення сайту; приймання та оплата розробки","informational","UA","https://maxsite.com.ua/blog/yak-zamovyty-sajt-i-ne-vtratyty-groshi/","https://maxsite.com.ua/blog/yak-zamovyty-sajt-i-ne-vtratyty-groshi/","article","P2","active","see dated SERP evidence","keep-owner","Запобігання ризикам договору та передачі доступів"
"blog-yakyj-sajt-potriben-lokalnomu-biznesu","який сайт потрібен локальному бізнесу","локальний сайт чи соцмережі; вибір сайту для місцевих послуг","informational","UA","https://maxsite.com.ua/blog/yakyj-sajt-potriben-lokalnomu-biznesu/","https://maxsite.com.ua/blog/yakyj-sajt-potriben-lokalnomu-biznesu/","article","P2","active","see dated SERP evidence","keep-owner","Освітній вибір каналу і формату для місцевого бізнесу"
"google-ads","налаштування Google Ads","ведення Google Ads; пошукова реклама","commercial","UA","https://maxsite.com.ua/google-ads/","https://maxsite.com.ua/google-ads/","supporting","P2","active","see dated SERP evidence","keep-owner","Advertising service intent"
"analytics","Google Analytics і Search Console","налаштування GA4; підключення Search Console","commercial","UA","https://maxsite.com.ua/google-analytics-search-console/","https://maxsite.com.ua/google-analytics-search-console/","supporting","P2","active","see dated SERP evidence","keep-owner","Measurement service intent"
"brand","MAX SITE","maxsite; макс сайт","navigational","UA","https://maxsite.com.ua/","https://maxsite.com.ua/","home","P1","active","see dated SERP evidence","keep-owner","Brand and umbrella: websites, SEO, Google Ads, custom software"
"kalkulyator-vartosti-saytu","калькулятор вартості сайту","розрахувати бюджет сайту","informational","UA","https://maxsite.com.ua/kalkulyator-vartosti-saytu/","https://maxsite.com.ua/kalkulyator-vartosti-saytu/","utility","P2","active","see dated SERP evidence","keep-owner","Інтерактивна попередня оцінка обсягу"
"kontakty","контакти MAX SITE","телефон MAX SITE","navigational","UA","https://maxsite.com.ua/kontakty/","https://maxsite.com.ua/kontakty/","utility","P2","active","see dated SERP evidence","keep-owner","Контактна навігація"
"mista","міста роботи MAX SITE","географія MAX SITE","navigational","UA","https://maxsite.com.ua/mista/","https://maxsite.com.ua/mista/","utility","P2","active","see dated SERP evidence","keep-owner","Навігація географією роботи"
"city-cherkasy","створення сайтів у Черкасах","замовити сайт у Черкасах; розробка сайту у Черкасах","commercial","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-cherkasy/","https://maxsite.com.ua/mista/stvorennya-sajtiv-cherkasy/","city-hub","P1","active","see dated SERP evidence","keep-owner","Remote project delivery for businesses in Черкасах; no fabricated local office"
"city-dnipro","створення сайтів у Дніпрі","замовити сайт у Дніпрі; розробка сайту у Дніпрі","commercial","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-dnipro/","https://maxsite.com.ua/mista/stvorennya-sajtiv-dnipro/","city-hub","P1","active","see dated SERP evidence","keep-owner","Remote project delivery for businesses in Дніпрі; no fabricated local office"
"city-kharkiv","створення сайтів у Харкові","замовити сайт у Харкові; розробка сайту у Харкові","commercial","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-kharkiv/","https://maxsite.com.ua/mista/stvorennya-sajtiv-kharkiv/","city-hub","P1","active","see dated SERP evidence","keep-owner","Remote project delivery for businesses in Харкові; no fabricated local office"
"city-kyiv","створення сайтів у Києві","замовити сайт у Києві; розробка сайту у Києві","commercial","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-kyiv/","https://maxsite.com.ua/mista/stvorennya-sajtiv-kyiv/","city-hub","P1","active","see dated SERP evidence","keep-owner","Remote project delivery for businesses in Києві; no fabricated local office"
"city-lviv","створення сайтів у Львові","замовити сайт у Львові; розробка сайту у Львові","commercial","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-lviv/","https://maxsite.com.ua/mista/stvorennya-sajtiv-lviv/","city-hub","P1","active","see dated SERP evidence","keep-owner","Remote project delivery for businesses in Львові; no fabricated local office"
"city-odesa","створення сайтів у Одесі","замовити сайт у Одесі; розробка сайту у Одесі","commercial","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-odesa/","https://maxsite.com.ua/mista/stvorennya-sajtiv-odesa/","city-hub","P1","active","see dated SERP evidence","keep-owner","Remote project delivery for businesses in Одесі; no fabricated local office"
"city-ukraine","дистанційна розробка сайту по Україні","віддалена співпраця з вебстудією","navigational","UA","https://maxsite.com.ua/mista/stvorennya-sajtiv-ukrayina/","https://maxsite.com.ua/mista/stvorennya-sajtiv-ukrayina/","city-hub","P2","active","see dated SERP evidence","keep-owner","Доставка проєкту дистанційно по Україні; загальний продаж належить /stvorennya-saytiv/"
"nishi","нішеві рішення MAX SITE","сайти за галузями бізнесу","navigational","UA","https://maxsite.com.ua/nishi/","https://maxsite.com.ua/nishi/","utility","P2","active","see dated SERP evidence","keep-owner","Навігація рішеннями за галузями"
"niche-auto","сайт для автосервісу","розробка сайту для автосервісу; замовити сайт для автосервісу","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-avtoservisu/","https://maxsite.com.ua/nishi/sajt-dlya-avtoservisu/","niche","P3","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: автосервісу; специфічні послуги, довіра, каталог і шлях звернення"
"niche-b2b","b2b-сайт для компанії","розробка сайту для компанії; замовити сайт для компанії","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-b2b-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-b2b-kompaniyi/","niche","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: компанії; специфічні послуги, довіра, каталог і шлях звернення"
"niche-construction","сайт для будівельної компанії","розробка сайту для будівельної компанії; замовити сайт для будівельної компанії","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-budivelnoyi-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-budivelnoyi-kompaniyi/","niche","P3","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: будівельної компанії; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-dezinfekciyi","сайт для дезінфекції","розробка сайту для дезінфекції; замовити сайт для дезінфекції","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-dezinfekciyi/","https://maxsite.com.ua/nishi/sajt-dlya-dezinfekciyi/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: дезінфекції; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-eksperta","сайт для експерта","розробка сайту для експерта; замовити сайт для експерта","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-eksperta/","https://maxsite.com.ua/nishi/sajt-dlya-eksperta/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: експерта; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-horeca","сайт для horeca та готелів","розробка сайту для horeca та готелів; замовити сайт для horeca та готелів","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-horeca/","https://maxsite.com.ua/nishi/sajt-dlya-horeca/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: horeca та готелів; специфічні послуги, довіра, каталог і шлях звернення"
"cleaning","сайт для клінінгової компанії","лендінг для клінінгу","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-kliningovoyi-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-kliningovoyi-kompaniyi/","niche","P1","active","see dated SERP evidence","keep-owner","Cleaning-specific services, coverage, quote and real Formula Chystoty case"
"nishi-sajt-dlya-kursiv","сайт для курсів","розробка сайту для курсів; замовити сайт для курсів","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-kursiv/","https://maxsite.com.ua/nishi/sajt-dlya-kursiv/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: курсів; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-landshaftnoyi-kompaniyi","сайт для ландшафтної компанії","розробка сайту для ландшафтної компанії; замовити сайт для ландшафтної компанії","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-landshaftnoyi-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-landshaftnoyi-kompaniyi/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: ландшафтної компанії; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-logistychnoyi-kompaniyi","сайт для логістичної компанії","розробка сайту для логістичної компанії; замовити сайт для логістичної компанії","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-logistychnoyi-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-logistychnoyi-kompaniyi/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: логістичної компанії; специфічні послуги, довіра, каталог і шлях звернення"
"niche-local","сайт для локального бізнесу","розробка сайту для локального бізнесу; замовити сайт для локального бізнесу","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-lokalnogo-biznesu/","https://maxsite.com.ua/nishi/sajt-dlya-lokalnogo-biznesu/","niche","P3","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: локального бізнесу; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-magazynu","сайт для магазину","розробка сайту для магазину; замовити сайт для магазину","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-magazynu/","https://maxsite.com.ua/nishi/sajt-dlya-magazynu/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: магазину; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-meblevoyi-kompaniyi","сайт для меблевої компанії","розробка сайту для меблевої компанії; замовити сайт для меблевої компанії","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-meblevoyi-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-meblevoyi-kompaniyi/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: меблевої компанії; специфічні послуги, довіра, каталог і шлях звернення"
"niche-medical","сайт для медичних послуг","розробка сайту для медичних послуг; замовити сайт для медичних послуг","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-medychnyh-poslug/","https://maxsite.com.ua/nishi/sajt-dlya-medychnyh-poslug/","niche","P3","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: медичних послуг; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-neruhomosti","сайт для нерухомості","розробка сайту для нерухомості; замовити сайт для нерухомості","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-neruhomosti/","https://maxsite.com.ua/nishi/sajt-dlya-neruhomosti/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: нерухомості; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-remontnyh-poslug","сайт для ремонтних послуг","розробка сайту для ремонтних послуг; замовити сайт для ремонтних послуг","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-remontnyh-poslug/","https://maxsite.com.ua/nishi/sajt-dlya-remontnyh-poslug/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: ремонтних послуг; специфічні послуги, довіра, каталог і шлях звернення"
"niche-beauty","сайт для салону краси","розробка сайту для салону краси; замовити сайт для салону краси","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-salonu-krasy/","https://maxsite.com.ua/nishi/sajt-dlya-salonu-krasy/","niche","P3","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: салону краси; специфічні послуги, довіра, каталог і шлях звернення"
"niche-dentistry","сайт для стоматології","розробка сайту для стоматології; замовити сайт для стоматології","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-stomatologiyi/","https://maxsite.com.ua/nishi/sajt-dlya-stomatologiyi/","niche","P3","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: стоматології; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-vyrobnytstva","сайт для виробництва","розробка сайту для виробництва; замовити сайт для виробництва","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-vyrobnytstva/","https://maxsite.com.ua/nishi/sajt-dlya-vyrobnytstva/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: виробництва; специфічні послуги, довіра, каталог і шлях звернення"
"nishi-sajt-dlya-yurydychnoyi-kompaniyi","сайт для юридичної компанії","розробка сайту для юридичної компанії; замовити сайт для юридичної компанії","commercial","UA","https://maxsite.com.ua/nishi/sajt-dlya-yurydychnoyi-kompaniyi/","https://maxsite.com.ua/nishi/sajt-dlya-yurydychnoyi-kompaniyi/","utility","P2","active","see dated SERP evidence","keep-owner","Комерційне галузеве рішення: юридичної компанії; специфічні послуги, довіра, каталог і шлях звернення"
"support","підтримка сайту","технічна підтримка сайтів; супровід сайту","commercial","UA","https://maxsite.com.ua/pidtrymka-saytiv/","https://maxsite.com.ua/pidtrymka-saytiv/","supporting","P2","active","see dated SERP evidence","keep-owner","Post-launch support intent"
"polityka-konfidentsijnosti","політика конфіденційності MAX SITE","","navigational","UA","https://maxsite.com.ua/polityka-konfidentsijnosti/","https://maxsite.com.ua/polityka-konfidentsijnosti/","utility","P2","active","see dated SERP evidence","keep-owner","Правила обробки даних; пошуковий попит не є ціллю"
"case-dez","кейс FO-DEZ MAX SITE","сайт FO-DEZ кейс","navigational","UA","https://maxsite.com.ua/portfolio/fo-dez/","https://maxsite.com.ua/portfolio/fo-dez/","case","P2","active","see dated SERP evidence","keep-owner","Архітектура сервісного сайту й підтверджений обсяг робіт"
"case-cleaning","кейс Формула Чистоти MAX SITE","сайт Формула Чистоти кейс","navigational","UA","https://maxsite.com.ua/portfolio/formula-chystoty/","https://maxsite.com.ua/portfolio/formula-chystoty/","case","P2","active","see dated SERP evidence","keep-owner","Підтверджена роль і технічні результати проєкту клінінгу"
"portfolio","портфоліо MAX SITE","проєкти MAX SITE","navigational","UA","https://maxsite.com.ua/portfolio/","https://maxsite.com.ua/portfolio/","utility","P2","active","see dated SERP evidence","keep-owner","Навігація реальними прикладами робіт"
"case-max-site","кейс MAX SITE","розробка власного сайту MAX SITE","navigational","UA","https://maxsite.com.ua/portfolio/max-site/","https://maxsite.com.ua/portfolio/max-site/","case","P2","active","see dated SERP evidence","keep-owner","Власний проєкт: технічний baseline і публічний журнал"
"poslugy","послуги MAX SITE","напрями роботи MAX SITE","navigational","UA","https://maxsite.com.ua/poslugy/","https://maxsite.com.ua/poslugy/","utility","P2","active","see dated SERP evidence","keep-owner","Каталог послуг: розробка, просування й аналітика"
"pro-nas","про MAX SITE","команда MAX SITE","navigational","UA","https://maxsite.com.ua/pro-nas/","https://maxsite.com.ua/pro-nas/","utility","P2","active","see dated SERP evidence","keep-owner","Бренд, процес і компетенції"
"qa-checklist","чекліст приймання сайту","перевірка готового сайту; шаблон приймання розробки","informational","UA","https://maxsite.com.ua/qa-checklist/","https://maxsite.com.ua/qa-checklist/","utility","P2","active","see dated SERP evidence","keep-owner","Практичний ресурс для перевірки виконаного обсягу"
"redesign","редизайн сайту","оновлення сайту; редизайн без втрати SEO","commercial","UA","https://maxsite.com.ua/redesign-saytu/","https://maxsite.com.ua/redesign-saytu/","supporting","P2","active","see dated SERP evidence","keep-owner","Preservation/migration intent"
"nextjs","розробка Next.js сайту","Next.js розробник; сайт на Next.js","commercial","UA","https://maxsite.com.ua/rozrobka-nextjs/","https://maxsite.com.ua/rozrobka-nextjs/","supporting","P3","active","see dated SERP evidence","keep-owner","Technology-specific intent"
"wordpress","розробка WordPress сайту","WordPress під ключ","commercial","UA","https://maxsite.com.ua/rozrobka-wordpress/","https://maxsite.com.ua/rozrobka-wordpress/","supporting","P3","active","see dated SERP evidence","keep-owner","Technology-specific intent"
"service-business","сайт для послуг","сайт сервісного бізнесу; сайт для компанії послуг","commercial","UA","https://maxsite.com.ua/sajty-dlya-poslug/","https://maxsite.com.ua/sajty-dlya-poslug/","supporting","P1","active","see dated SERP evidence","keep-owner","Service catalogue, geography, quote and enquiry workflow"
"site-card","сайт візитка під ключ","створення сайту візитки","commercial","UA","https://maxsite.com.ua/sayt-vizytka/","https://maxsite.com.ua/sayt-vizytka/","supporting","P3","active","see dated SERP evidence","keep-owner","Small informational site intent"
"seo-first","MAX SITE SEO-FIRST","процес SEO-FIRST MAX SITE","navigational","UA","https://maxsite.com.ua/seo-first/","https://maxsite.com.ua/seo-first/","utility","P2","active","see dated SERP evidence","keep-owner","Власний процес і його артефакти"
"seo","SEO просування сайту","просування сайту; SEO для бізнесу","commercial","UA","https://maxsite.com.ua/seo-prosuvannya/","https://maxsite.com.ua/seo-prosuvannya/","supporting","P1","active","see dated SERP evidence","keep-owner","Ongoing organic growth; distinct from SEO-ready build and technical audit"
"seo-ready-site","створення SEO сайту під Google","сайт з SEO основою","commercial","UA","https://maxsite.com.ua/seo-sajt-pid-google/","https://maxsite.com.ua/seo-sajt-pid-google/","money","P2","active","see dated SERP evidence","keep-owner","Замовлення розробки із заданою SEO архітектурою; не поточне просування"
"ecommerce","інтернет магазин під ключ","створення інтернет магазину; розробка інтернет магазину","commercial","UA","https://maxsite.com.ua/stvorennya-internet-mahazynu/","https://maxsite.com.ua/stvorennya-internet-mahazynu/","money","P1","active","see dated SERP evidence","keep-owner","Catalogue, checkout, payment, shipping and operational integrations"
